1736208000000000,102235.60000000,102255.00000000,102109.37000000,102109.38000000,89.08972000,1736208299999999,9104299.22684450,9515,64.58217000,6599782.36982270,0
1736208300000000,102109.38000000,102117.03000000,101972.50000000,102000.00000000,42.49655000,1736208599999999,4335601.28344500,6592,13.47037000,1374157.47385200,0
1736208600000000,102000.00000000,102071.01000000,102000.00000000,102031.96000000,40.11853000,1736208899999999,4093698.66839240,4907,24.75967000,2526398.19409840,0
1736208900000000,102031.96000000,102098.28000000,101950.00000000,102091.40000000,68.31167000,1736209199999999,6970166.46634170,9094,38.51926000,3930350.71692300,0
1736209200000000,102091.40000000,102219.99000000,102090.91000000,102204.76000000,30.89262000,1736209499999999,3155743.22957590,5318,16.91369000,1727649.62488670,0
1736209500000000,102204.76000000,102423.57000000,102122.01000000,102380.85000000,83.45830000,1736209799999999,8536713.84834020,10885,59.28357000,6063933.57499190,0
1736209800000000,102380.85000000,102455.55000000,102278.83000000,102450.68000000,55.46124000,1736210099999999,5676745.39602210,11111,34.28983000,3509955.27346660,0
1736210100000000,102450.67000000,102724.38000000,102267.86000000,102299.89000000,301.98864000,1736210399999999,30974413.53463030,30884,206.48676000,21178965.16906090,0
1736210400000000,102299.89000000,102299.90000000,102012.97000000,102056.50000000,107.76822000,1736210699999999,11008405.68527960,18292,50.25936000,5134288.01836270,0
1736210700000000,102056.50000000,102173.57000000,101969.85000000,102162.16000000,83.11777000,1736210999999999,8482816.72110980,12797,48.93269000,4994061.16736210,0
1736211000000000,102162.16000000,102212.13000000,102132.33000000,102212.12000000,31.49061000,1736211299999999,3217481.26114000,7988,18.25209000,1864855.26833680,0
1736211300000000,102212.13000000,102212.13000000,101969.80000000,102042.46000000,46.17691000,1736211599999999,4712447.14412510,7643,14.52797000,1482654.94641740,0
1736211600000000,102042.47000000,102071.90000000,101812.09000000,101897.98000000,110.70985000,1736211899999999,11284764.58533020,15205,34.80367000,3548016.17593180,0
1736211900000000,101897.97000000,101991.67000000,101859.98000000,101919.03000000,39.02153000,1736212199999999,3977196.46064990,9385,20.57791000,2097317.96433760,0
1736212200000000,101919.04000000,101919.04000000,101790.62000000,101818.18000000,41.73379000,1736212499999999,4250161.28072090,6376,16.74577000,1705291.45625700,0
1736212500000000,101818.18000000,101909.02000000,101816.55000000,101864.48000000,52.61328000,1736212799999999,5358895.19211510,6560,37.65896000,3835483.66797080,0
1736212800000000,101864.47000000,101908.43000000,101852.84000000,101862.85000000,26.63487000,1736213099999999,2713750.68077630,5290,10.47903000,1067676.64253750,0
1736213100000000,101862.84000000,101862.85000000,101684.95000000,101685.27000000,31.62806000,1736213399999999,3218481.66493660,7112,11.19222000,1138884.91193550,0
1736213400000000,101685.27000000,101815.06000000,101685.26000000,101744.01000000,44.54319000,1736213699999999,4532480.98325660,8584,26.72584000,2719170.09517780,0
1736213700000000,101744.02000000,101841.84000000,101687.55000000,101841.84000000,71.59164000,1736213999999999,7285430.10552520,7833,25.62387000,2607822.51457750,0
1736214000000000,101841.83000000,101984.01000000,101841.83000000,101973.79000000,59.54369000,1736214299999999,6070173.84154290,4622,41.62175000,4242919.90328690,0
1736214300000000,101973.80000000,101998.48000000,101916.65000000,101998.48000000,22.72118000,1736214599999999,2316598.15767090,3283,13.10379000,1335996.85048790,0
1736214600000000,101998.48000000,102026.60000000,101949.91000000,101978.81000000,24.96662000,1736214899999999,2546402.94718710,4882,10.98616000,1120508.70647170,0
1736214900000000,101978.81000000,101978.83000000,101841.83000000,101915.66000000,32.59819000,1736215199999999,3321682.58499860,5689,9.58671000,976652.66276110,0
1736215200000000,101915.66000000,102008.00000000,101915.65000000,101973.98000000,39.11379000,1736215499999999,3987978.76690180,6169,27.58125000,2812011.78047070,0
1736215500000000,101973.98000000,101985.79000000,101896.87000000,101985.78000000,23.82413000,1736215799999999,2428153.13597790,6064,14.66709000,1494783.18868380,0
1736215800000000,101985.79000000,102018.98000000,101960.06000000,101960.06000000,20.66339000,1736216099999999,2107332.50355660,4966,8.40778000,857481.25352100,0
1736216100000000,101960.05000000,102013.74000000,101958.82000000,101964.55000000,38.55263000,1736216399999999,3932178.37271720,4037,17.89365000,1825021.84258030,0
1736216400000000,101964.54000000,102010.82000000,101905.89000000,101905.90000000,31.37444000,1736216699999999,3199109.10399130,6775,9.88959000,1008408.62613850,0
1736216700000000,101905.89000000,101921.78000000,101848.49000000,101848.49000000,25.46605000,1736216999999999,2594546.99629230,5074,12.36352000,1259603.01360410,0
1736217000000000,101848.50000000,101861.30000000,101793.54000000,101809.20000000,34.48717000,1736217299999999,3511225.45015120,6111,15.04425000,1531631.50945960,0
1736217300000000,101809.20000000,101876.27000000,101805.06000000,101830.74000000,26.05009000,1736217599999999,2653155.82585020,5114,8.55945000,871663.52530150,0
1736217600000000,101830.73000000,101841.75000000,101805.91000000,101815.73000000,19.12032000,1736217899999999,1946994.16516100,2715,5.69540000,579956.28754270,0
1736217900000000,101815.73000000,101841.28000000,101741.52000000,101741.52000000,50.77895000,1736218199999999,5168616.93406370,6622,22.30218000,2269919.35363690,0
1736218200000000,101741.52000000,101741.52000000,101651.67000000,101667.26000000,34.33398000,1736218499999999,3491917.17239660,6195,14.17526000,1441504.24433970,0
1736218500000000,101667.27000000,101717.81000000,101667.27000000,101677.66000000,48.64428000,1736218799999999,4946743.68972830,4053,28.54436000,2902822.10195160,0
1736218800000000,101677.66000000,101788.35000000,101672.02000000,101787.11000000,41.25037000,1736219099999999,4195772.67394400,6891,32.57329000,3313162.73394090,0
